month,count
01/1985,1
02/1985,0
03/1985,0
04/1985,0
05/1985,0
06/1985,1
07/1985,1
08/1985,0
09/1985,2
10/1985,1
11/1985,0
12/1985,14
01/1986,0
02/1986,0
03/1986,0
04/1986,0
05/1986,0
06/1986,2
07/1986,0
08/1986,1
09/1986,5
10/1986,1
11/1986,2
12/1986,12
01/1987,0
02/1987,0
03/1987,0
04/1987,0
05/1987,0
06/1987,0
07/1987,2
08/1987,2
09/1987,0
10/1987,0
11/1987,1
12/1987,23
01/1988,0
02/1988,1
03/1988,0
04/1988,3
05/1988,0
06/1988,1
07/1988,1
08/1988,0
09/1988,2
10/1988,1
11/1988,2
12/1988,24
01/1989,0
02/1989,1
03/1989,1
04/1989,3
05/1989,2
06/1989,1
07/1989,2
08/1989,0
09/1989,0
10/1989,3
11/1989,1
12/1989,36
01/1990,2
02/1990,1
03/1990,0
04/1990,3
05/1990,2
06/1990,2
07/1990,4
08/1990,2
09/1990,4
10/1990,0
11/1990,5
12/1990,48
01/1991,1
02/1991,2
03/1991,0
04/1991,3
05/1991,1
06/1991,3
07/1991,3
08/1991,3
09/1991,2
10/1991,5
11/1991,9
12/1991,34
01/1992,4
02/1992,3
03/1992,2
04/1992,1
05/1992,0
06/1992,2
07/1992,5
08/1992,1
09/1992,3
10/1992,6
11/1992,3
12/1992,50
01/1993,1
02/1993,4
03/1993,2
04/1993,3
05/1993,3
06/1993,10
07/1993,4
08/1993,2
09/1993,0
10/1993,6
11/1993,6
12/1993,47
01/1994,2
02/1994,4
03/1994,3
04/1994,6
05/1994,1
06/1994,6
07/1994,2
08/1994,8
09/1994,5
10/1994,3
11/1994,11
12/1994,43
01/1995,2
02/1995,2
03/1995,4
04/1995,3
05/1995,3
06/1995,4
07/1995,1
08/1995,1
09/1995,4
10/1995,4
11/1995,5
12/1995,47
01/1996,0
02/1996,1
03/1996,4
04/1996,1
05/1996,0
06/1996,1
07/1996,1
08/1996,2
09/1996,4
10/1996,6
11/1996,6
12/1996,51
01/1997,3
02/1997,1
03/1997,2
04/1997,0
05/1997,0
06/1997,3
07/1997,4
08/1997,3
09/1997,3
10/1997,6
11/1997,3
12/1997,52
01/1998,2
02/1998,0
03/1998,2
04/1998,1
05/1998,3
06/1998,0
07/1998,3
08/1998,6
09/1998,2
10/1998,6
11/1998,7
12/1998,28
01/1999,1
02/1999,2
03/1999,6
04/1999,2
05/1999,5
06/1999,2
07/1999,2
08/1999,7
09/1999,4
10/1999,9
11/1999,7
12/1999,21
01/2000,4
02/2000,3
03/2000,6
04/2000,3
05/2000,3
06/2000,9
07/2000,4
08/2000,7
09/2000,12
10/2000,12
11/2000,12
12/2000,56
01/2001,4
02/2001,8
03/2001,13
04/2001,2
05/2001,12
06/2001,11
07/2001,10
08/2001,10
09/2001,14
10/2001,19
11/2001,21
12/2001,57
01/2002,6
02/2002,13
03/2002,14
04/2002,17
05/2002,8
06/2002,8
07/2002,13
08/2002,13
09/2002,15
10/2002,15
11/2002,27
12/2002,44
01/2003,8
02/2003,9
03/2003,17
04/2003,11
05/2003,8
06/2003,13
07/2003,14
08/2003,13
09/2003,19
10/2003,23
11/2003,34
12/2003,53
01/2004,5
02/2004,4
03/2004,7
04/2004,20
05/2004,11
06/2004,17
07/2004,5
08/2004,16
09/2004,11
10/2004,22
11/2004,33
12/2004,36
01/2005,9
02/2005,10
03/2005,21
04/2005,8
05/2005,13
06/2005,8
07/2005,12
08/2005,9
09/2005,22
10/2005,25
11/2005,36
12/2005,41
01/2006,9
02/2006,19
03/2006,22
04/2006,13
05/2006,16
06/2006,16
07/2006,17
08/2006,20
09/2006,25
10/2006,24
11/2006,42
12/2006,45
01/2007,16
02/2007,17
03/2007,27
04/2007,7
05/2007,17
06/2007,16
07/2007,21
08/2007,19
09/2007,24
10/2007,40
11/2007,45
12/2007,41
01/2008,12
02/2008,18
03/2008,22
04/2008,17
05/2008,18
06/2008,16
07/2008,23
08/2008,13
09/2008,22
10/2008,33
11/2008,39
12/2008,40
01/2009,14
02/2009,29
03/2009,28
04/2009,23
05/2009,25
06/2009,27
07/2009,17
08/2009,29
09/2009,43
10/2009,46
11/2009,49
12/2009,48
01/2010,29
02/2010,32
03/2010,41
04/2010,30
05/2010,25
06/2010,47
07/2010,36
08/2010,35
09/2010,38
10/2010,42
11/2010,75
12/2010,48
01/2011,26
02/2011,29
03/2011,43
04/2011,32
05/2011,34
06/2011,27
07/2011,17
08/2011,25
09/2011,34
10/2011,31
11/2011,41
12/2011,24
01/2012,12
02/2012,36
03/2012,46
04/2012,25
05/2012,31
06/2012,25
07/2012,24
08/2012,30
09/2012,38
10/2012,56
11/2012,53
12/2012,38
01/2013,41
02/2013,15
03/2013,30
04/2013,32
05/2013,24
06/2013,27
07/2013,27
08/2013,25
09/2013,47
10/2013,41
11/2013,41
12/2013,29
01/2014,26
02/2014,44
03/2014,35
04/2014,43
05/2014,39
06/2014,23
07/2014,27
08/2014,14
09/2014,13
10/2014,14
11/2014,20
12/2014,13
01/2015,9
02/2015,4
03/2015,9
04/2015,6
05/2015,64
06/2015,22
07/2015,12
08/2015,65
09/2015,55
10/2015,37
11/2015,43
12/2015,50
01/2016,31
02/2016,22
