month,count
01/1985,0
02/1985,0
03/1985,0
04/1985,0
05/1985,0
06/1985,1
07/1985,0
08/1985,0
09/1985,0
10/1985,0
11/1985,0
12/1985,1
01/1986,0
02/1986,0
03/1986,0
04/1986,0
05/1986,0
06/1986,0
07/1986,0
08/1986,0
09/1986,0
10/1986,0
11/1986,0
12/1986,1
01/1987,0
02/1987,0
03/1987,0
04/1987,0
05/1987,0
06/1987,0
07/1987,0
08/1987,0
09/1987,0
10/1987,0
11/1987,0
12/1987,4
01/1988,0
02/1988,0
03/1988,0
04/1988,0
05/1988,0
06/1988,0
07/1988,0
08/1988,0
09/1988,0
10/1988,0
11/1988,0
12/1988,2
01/1989,0
02/1989,0
03/1989,0
04/1989,0
05/1989,0
06/1989,0
07/1989,0
08/1989,0
09/1989,1
10/1989,1
11/1989,0
12/1989,6
01/1990,0
02/1990,0
03/1990,1
04/1990,0
05/1990,0
06/1990,0
07/1990,1
08/1990,0
09/1990,1
10/1990,0
11/1990,0
12/1990,10
01/1991,0
02/1991,1
03/1991,0
04/1991,1
05/1991,0
06/1991,0
07/1991,0
08/1991,0
09/1991,0
10/1991,2
11/1991,0
12/1991,13
01/1992,0
02/1992,0
03/1992,0
04/1992,0
05/1992,0
06/1992,0
07/1992,0
08/1992,0
09/1992,0
10/1992,0
11/1992,1
12/1992,7
01/1993,0
02/1993,2
03/1993,0
04/1993,0
05/1993,0
06/1993,0
07/1993,0
08/1993,1
09/1993,0
10/1993,0
11/1993,0
12/1993,15
01/1994,0
02/1994,1
03/1994,0
04/1994,0
05/1994,0
06/1994,1
07/1994,0
08/1994,1
09/1994,0
10/1994,0
11/1994,0
12/1994,15
01/1995,0
02/1995,0
03/1995,1
04/1995,3
05/1995,1
06/1995,0
07/1995,1
08/1995,0
09/1995,1
10/1995,0
11/1995,1
12/1995,21
01/1996,0
02/1996,0
03/1996,1
04/1996,1
05/1996,0
06/1996,0
07/1996,0
08/1996,1
09/1996,0
10/1996,1
11/1996,1
12/1996,14
01/1997,1
02/1997,0
03/1997,2
04/1997,0
05/1997,0
06/1997,0
07/1997,0
08/1997,0
09/1997,0
10/1997,0
11/1997,1
12/1997,19
01/1998,1
02/1998,1
03/1998,0
04/1998,0
05/1998,0
06/1998,1
07/1998,0
08/1998,1
09/1998,2
10/1998,0
11/1998,1
12/1998,12
01/1999,1
02/1999,1
03/1999,1
04/1999,0
05/1999,1
06/1999,1
07/1999,1
08/1999,0
09/1999,1
10/1999,1
11/1999,0
12/1999,7
01/2000,0
02/2000,0
03/2000,0
04/2000,1
05/2000,3
06/2000,2
07/2000,0
08/2000,4
09/2000,1
10/2000,1
11/2000,2
12/2000,20
01/2001,1
02/2001,0
03/2001,1
04/2001,1
05/2001,2
06/2001,4
07/2001,3
08/2001,1
09/2001,4
10/2001,8
11/2001,2
12/2001,19
01/2002,4
02/2002,1
03/2002,5
04/2002,1
05/2002,4
06/2002,0
07/2002,2
08/2002,3
09/2002,5
10/2002,4
11/2002,3
12/2002,15
01/2003,2
02/2003,2
03/2003,3
04/2003,0
05/2003,2
06/2003,4
07/2003,3
08/2003,6
09/2003,3
10/2003,4
11/2003,5
12/2003,15
01/2004,1
02/2004,4
03/2004,4
04/2004,7
05/2004,2
06/2004,7
07/2004,3
08/2004,5
09/2004,6
10/2004,7
11/2004,4
12/2004,23
01/2005,4
02/2005,4
03/2005,3
04/2005,6
05/2005,5
06/2005,4
07/2005,4
08/2005,0
09/2005,10
10/2005,7
11/2005,12
12/2005,23
01/2006,7
02/2006,5
03/2006,16
04/2006,12
05/2006,4
06/2006,9
07/2006,9
08/2006,12
09/2006,14
10/2006,18
11/2006,16
12/2006,22
01/2007,6
02/2007,11
03/2007,14
04/2007,17
05/2007,10
06/2007,25
07/2007,17
08/2007,11
09/2007,28
10/2007,39
11/2007,31
12/2007,24
01/2008,5
02/2008,14
03/2008,21
04/2008,16
05/2008,22
06/2008,14
07/2008,16
08/2008,12
09/2008,23
10/2008,26
11/2008,34
12/2008,17
01/2009,13
02/2009,11
03/2009,22
04/2009,16
05/2009,10
06/2009,12
07/2009,14
08/2009,10
09/2009,17
10/2009,17
11/2009,28
12/2009,25
01/2010,17
02/2010,24
03/2010,20
04/2010,20
05/2010,20
06/2010,32
07/2010,11
08/2010,12
09/2010,13
10/2010,19
11/2010,23
12/2010,24
01/2011,22
02/2011,18
03/2011,18
04/2011,12
05/2011,10
06/2011,14
07/2011,10
08/2011,11
09/2011,6
10/2011,9
11/2011,13
12/2011,10
01/2012,2
02/2012,14
03/2012,22
04/2012,14
05/2012,13
06/2012,11
07/2012,14
08/2012,8
09/2012,10
10/2012,19
11/2012,17
12/2012,10
01/2013,5
02/2013,4
03/2013,12
04/2013,12
05/2013,5
06/2013,9
07/2013,9
08/2013,6
09/2013,6
10/2013,11
11/2013,10
12/2013,12
01/2014,8
02/2014,12
03/2014,9
04/2014,10
05/2014,8
06/2014,4
07/2014,9
08/2014,4
09/2014,3
10/2014,1
11/2014,8
12/2014,1
01/2015,0
02/2015,0
03/2015,2
04/2015,5
05/2015,10
06/2015,2
07/2015,6
08/2015,12
09/2015,7
10/2015,7
11/2015,5
12/2015,7
01/2016,3
02/2016,3
